"id","title","description","category","price","discountPercentage","rating","stock","brand","sku","weight","warrantyInformation","shippingInformation","availabilityStatus","returnPolicy","minimumOrderQuantity","meta","images","thumbnail","dimensions_width","dimensions_height","dimensions_depth","review_1_rating","review_1_comment","review_1_reviewer","review_2_rating","review_2_comment","review_2_reviewer","review_3_rating","review_3_comment","review_3_reviewer","tags"
"12","Annibale Colombo Sofa","The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.","furniture","2499.99","18.54","3.08","16","Annibale Colombo","LUU95CQP","3","1 month warranty","Ships overnight","In Stock","7 days return policy","1","","","https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/thumbnail.png","20.97","19.11","25.81","5","Very satisfied!","Tyler Davis","5","Excellent quality!","Hannah Robinson","3","Waste of money!","Madison Collins","furniture, sofas"
"13","Bedside Table African Cherry","The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.","furniture","299.99","9.58","4.48","16","Furniture Co.","OWPLTZYX","10","6 months warranty","Ships in 1-2 business days","In Stock","No return policy","5","","","https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/thumbnail.png","25.43","20.2","24.95","5","Very happy with my purchase!","John Doe","4","Highly recommended!","Avery Carter","4","Very pleased!","Evelyn Sanchez","furniture, bedside tables"
"14","Knoll Saarinen Executive Conference Chair","The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.","furniture","499.99","15.23","4.11","47","Knoll","RKHVJ4FE","3","Lifetime warranty","Ships in 3-5 business days","In Stock","30 days return policy","5","","","https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/thumbnail.png","16.59","21.46","29.07","4","Very happy with my purchase!","Leah Gutierrez","4","Would buy again!","Nolan Gonzalez","2","Waste of money!","Stella Morris","furniture, office chairs"
"15","Wooden Bathroom Sink With Mirror","The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.","furniture","799.99","11.22","3.26","95","Bath Trends","7OLTIEVO","6","6 months warranty","Ships in 3-5 business days","In Stock","7 days return policy","1","","","https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/thumbnail.png","7.32","22.64","12.37","5","Highly recommended!","Charlotte Lopez","1","Would not recommend!","William Gonzalez","2","Not worth the price!","Ava Harrison","furniture, bathroom"
"16","Apple","Fresh and crisp apples, perfect for snacking or incorporating into various recipes.","groceries","1.99","1.97","2.96","9","","QTROUV79","8","2 year warranty","Ships in 2 weeks","In Stock","60 days return policy","44","","","https://cdn.dummyjson.com/products/images/groceries/Apple/thumbnail.png","8.29","5.58","12.41","4","Great product!","Logan Lee","4","Great product!","Elena Long","1","Not as described!","Grayson Coleman","fruits"
"17","Beef Steak","High-quality beef steak, great for grilling or cooking to your preferred level of doneness.","groceries","12.99","17.99","2.83","96","","BWWA2MSO","9","1 month warranty","Ships overnight","In Stock","90 days return policy","21","","","https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/thumbnail.png","23.35","13.48","26.4","4","Very pleased!","Ethan Martinez","3","Disappointing product!","Owen Fisher","4","Very happy with my purchase!","Scarlett Wright","meat"
"18","Cat Food","Nutritious cat food formulated to meet the dietary needs of your feline friend.","groceries","8.99","9.57","2.88","13","","C3F8QN6O","9","3 months warranty","Ships in 1-2 business days","In Stock","7 days return policy","48","","","https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/thumbnail.png","15.4","13.97","25.13","5","Very pleased!","Mateo Bennett","5","Very pleased!","Aurora Barnes","5","Great value for money!","Ellie Stewart","pet supplies, cat food"
"19","Chicken Meat","Fresh and tender chicken meat, suitable for various culinary preparations.","groceries","9.99","10.46","4.61","69","","G5YEHW7B","7","Lifetime warranty","Ships in 1 month","In Stock","7 days return policy","46","","","https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/thumbnail.png","15.96","29.24","26.25","5","Very satisfied!","Sophia Jones","5","Great value for money!","Maya Reed","4","Highly recommended!","Harper Turner","meat"
"20","Cooking Oil","Versatile cooking oil suitable for frying, sautéing, and various culinary applications.","groceries","4.99","18.89","4.01","22","","Q6ZP1UY8","8","Lifetime warranty","Ships in 1 month","In Stock","60 days return policy","2","","","https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/thumbnail.png","8.18","27.45","27.88","5","Would buy again!","Mason Parker","3","Poor quality!","Jonathan Pierce","5","Would buy again!","Alexander Hernandez","cooking essentials"
"21","Cucumber","Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.","groceries","1.49","11.44","4.71","22","","6KGF2K6Z","9","5 year warranty","Ships overnight","In Stock","30 days return policy","7","","","https://cdn.dummyjson.com/products/images/groceries/Cucumber/thumbnail.png","11.04","20.5","8.18","4","Very satisfied!","Elijah Hill","5","Fast shipping!","Liam Garcia","4","Excellent quality!","Ella Cook","vegetables"
"22","Dog Food","Specially formulated dog food designed to provide essential nutrients for your canine companion.","groceries","10.99","18.15","2.74","40","","A6QRCH37","2","1 year warranty","Ships in 1 month","In Stock","90 days return policy","29","","","https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/thumbnail.png","29.39","29.77","20.54","5","Highly impressed!","Leo Rivera","4","Highly recommended!","Alexander Jones","4","Would buy again!","Addison Wright","pet supplies, dog food"
"23","Eggs","Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.","groceries","2.99","5.8","4.46","10","","YA617RI7","4","3 year warranty","Ships overnight","In Stock","30 days return policy","43","","","https://cdn.dummyjson.com/products/images/groceries/Eggs/thumbnail.png","12.3","10.99","15.53","2","Very unhappy with my purchase!","Mateo Perez","4","Very happy with my purchase!","Cameron Perez","5","Very happy with my purchase!","Aurora Barnes","dairy"
"24","Fish Steak","Quality fish steak, suitable for grilling, baking, or pan-searing.","groceries","14.99","7","4.83","99","","XNIH1MTA","8","1 year warranty","Ships in 1 month","In Stock","30 days return policy","49","","","https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/thumbnail.png","20.14","8.4","10.01","5","Great value for money!","Michael Johnson","4","Would buy again!","Julian Newton","5","Excellent quality!","Lila Hudson","seafood"
"25","Green Bell Pepper","Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.","groceries","1.29","15.5","4.28","89","","HU7S7VQ0","7","5 year warranty","Ships overnight","In Stock","30 days return policy","1","","","https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/thumbnail.png","7.32","14.31","21.38","4","Excellent quality!","Maya Reed","4","Would buy again!","Madison Collins","5","Would buy again!","Ethan Thompson","vegetables"
"26","Green Chili Pepper","Spicy green chili pepper, ideal for adding heat to your favorite recipes.","groceries","0.99","18.51","4.43","8","","Y4RM3JCB","2","No warranty","Ships in 1-2 business days","In Stock","30 days return policy","43","","","https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/thumbnail.png","18.67","21.17","25.26","2","Disappointing product!","Mateo Bennett","5","Very pleased!","Natalie Price","4","Very satisfied!","Avery Barnes","vegetables"
"27","Honey Jar","Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.","groceries","6.99","1.91","3.5","25","","BTBNIIOU","9","2 year warranty","Ships overnight","In Stock","90 days return policy","1","","","https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/thumbnail.png","26.53","27.11","6.63","4","Fast shipping!","Nicholas Bailey","5","Awesome product!","Gabriel Hayes","5","Highly impressed!","James Garcia","condiments"
"28","Ice Cream","Creamy and delicious ice cream, available in various flavors for a delightful treat.","groceries","5.49","7.58","3.77","76","","VEZMU1EQ","5","2 year warranty","Ships in 2 weeks","In Stock","No return policy","19","","","https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/thumbnail.png","17.66","24.49","25.98","5","Great product!","Elena Baker","5","Highly impressed!","Madeline Simpson","5","Very happy with my purchase!","Caleb Nelson","desserts"
"29","Juice","Refreshing fruit juice, packed with vitamins and great for staying hydrated.","groceries","3.99","5.45","3.41","99","","M2K19S06","2","1 week warranty","Ships in 1-2 business days","In Stock","90 days return policy","26","","","https://cdn.dummyjson.com/products/images/groceries/Juice/thumbnail.png","8.97","12.26","15.05","4","Very satisfied!","Leo Rivera","2","Not worth the price!","Ethan Martinez","4","Excellent quality!","Max Parker","beverages"
"30","Kiwi","Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.","groceries","2.49","10.32","4.37","1","","0X3NORB9","8","6 months warranty","Ships in 3-5 business days","Low Stock","7 days return policy","8","","","https://cdn.dummyjson.com/products/images/groceries/Kiwi/thumbnail.png","27.3","7.48","15.08","5","Very pleased!","Nora Russell","5","Very pleased!","Dylan Wells","5","Great product!","Noah Hernandez","fruits"
"31","Lemon","Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.","groceries","0.79","17.81","4.25","0","","J074TE3H","10","3 year warranty","Ships in 1 week","Out of Stock","90 days return policy","1","","","https://cdn.dummyjson.com/products/images/groceries/Lemon/thumbnail.png","25.97","27.47","6.31","4","Highly recommended!","Lucas Gray","5","Great product!","Henry Hill","4","Awesome product!","Elena Long","fruits"
"32","Milk","Fresh and nutritious milk, a staple for various recipes and daily consumption.","groceries","3.49","15.09","3.14","57","","VOZKMF40","1","6 months warranty","Ships in 1 month","In Stock","7 days return policy","41","","","https://cdn.dummyjson.com/products/images/groceries/Milk/thumbnail.png","22.42","20.9","12.48","5","Very pleased!","Daniel Cook","5","Awesome product!","Nora Mills","4","Great value for money!","Jacob Cooper","dairy"
"33","Mulberry","Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.","groceries","4.99","16.35","3.19","79","","0M1K7RRC","4","3 months warranty","Ships in 1 month","In Stock","60 days return policy","50","","","https://cdn.dummyjson.com/products/images/groceries/Mulberry/thumbnail.png","11.12","27.3","27.57","5","Very satisfied!","Leah Henderson","1","Not as described!","Leah Hughes","5","Great product!","Carter Baker","fruits"
"34","Nescafe Coffee","Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.","groceries","7.99","11.65","2.54","22","","FP5H3065","9","No warranty","Ships in 3-5 business days","In Stock","30 days return policy","8","","","https://cdn.dummyjson.com/products/images/groceries/Nescafe%20Coffee/thumbnail.png","11.21","24.54","15.05","4","Great product!","Nolan Gonzalez","4","Very pleased!","Carter Baker","4","Highly impressed!","Emily Johnson","beverages, coffee"
"35","Potatoes","Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.","groceries","2.29","4.05","3.82","8","","W4NOBW45","9","5 year warranty","Ships in 1-2 business days","In Stock","7 days return policy","29","","","https://cdn.dummyjson.com/products/images/groceries/Potatoes/thumbnail.png","20","6.44","20.07","5","Very pleased!","Sophia Brown","1","Would not recommend!","Gabriel Mitchell","5","Awesome product!","Elijah Stewart","vegetables"
"36","Protein Powder","Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.","groceries","19.99","1.58","3.91","65","","BT2QOWKZ","2","1 year warranty","Ships in 1-2 business days","In Stock","No return policy","39","","","https://cdn.dummyjson.com/products/images/groceries/Protein%20Powder/thumbnail.png","5.62","7.88","23.48","1","Very dissatisfied!","Logan Lawson","3","Poor quality!","Julian James","1","Very unhappy with my purchase!","Hazel Evans","health supplements"
"37","Red Onions","Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.","groceries","1.99","17.89","4.08","86","","TAF870KJ","2","Lifetime warranty","Ships in 2 weeks","In Stock","60 days return policy","40","","","https://cdn.dummyjson.com/products/images/groceries/Red%20Onions/thumbnail.png","14.05","17.13","14.05","5","Very happy with my purchase!","James Davis","2","Would not recommend!","Chloe Morales","3","Very dissatisfied!","Aaron Cook","vegetables"
"38","Rice","High-quality rice, a staple for various cuisines and a versatile base for many dishes.","groceries","5.99","12.02","3.94","49","","905JXMXM","1","2 year warranty","Ships in 1 month","In Stock","60 days return policy","18","","","https://cdn.dummyjson.com/products/images/groceries/Rice/thumbnail.png","28.86","6.26","11.04","5","Highly impressed!","Hazel Gardner","4","Great value for money!","Gabriel Adams","4","Awesome product!","Jack Ward","grains"
"39","Soft Drinks","Assorted soft drinks in various flavors, perfect for refreshing beverages.","groceries","1.99","1.88","4.59","78","","I1ZNSLXJ","9","1 year warranty","Ships in 3-5 business days","In Stock","90 days return policy","41","","","https://cdn.dummyjson.com/products/images/groceries/Soft%20Drinks/thumbnail.png","15.73","24.93","27.19","3","Very dissatisfied!","Ella Cook","4","Highly impressed!","Liam Garcia","4","Awesome product!","Autumn Gomez","beverages"
"40","Strawberry","Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.","groceries","3.99","19.59","4.5","9","","LPP7I4JZ","4","1 year warranty","Ships in 1 week","In Stock","30 days return policy","38","","","https://cdn.dummyjson.com/products/images/groceries/Strawberry/thumbnail.png","20.82","15.81","14.89","5","Highly recommended!","Charlotte Lopez","5","Great product!","Grace Green","1","Disappointing product!","Logan Torres","fruits"
"41","Tissue Paper Box","Convenient tissue paper box for everyday use, providing soft and absorbent tissues.","groceries","2.49","15.44","4.55","97","","IQEZWXMJ","3","6 months warranty","Ships in 1 month","In Stock","No return policy","1","","","https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/thumbnail.png","24.1","19.74","5.48","4","Great product!","Stella Morris","5","Very pleased!","Harper Turner","5","Great product!","Luna Russell","household essentials"
"42","Water","Pure and refreshing bottled water, essential for staying hydrated throughout the day.","groceries","0.99","13.71","2.93","95","","LZG5PPHA","2","No warranty","Ships in 1 week","In Stock","7 days return policy","46","","","https://cdn.dummyjson.com/products/images/groceries/Water/thumbnail.png","25.46","25.86","18.06","4","Highly recommended!","Lillian Simmons","4","Great product!","Emily Brown","5","Great value for money!","Cameron Perez","beverages"
"43","Decoration Swing","The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room.","home-decoration","59.99","0.65","3.56","62","","MBEK52ST","8","Lifetime warranty","Ships in 2 weeks","In Stock","30 days return policy","2","","","https://cdn.dummyjson.com/products/images/home-decoration/Decoration%20Swing/thumbnail.png","20.75","11.18","7.92","5","Highly recommended!","Aria Roberts","5","Highly impressed!","Caleb Perkins","5","Great product!","Aria Roberts","home decor, swing"
"44","Family Tree Photo Frame","The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones.","home-decoration","29.99","1.53","3.84","34","","EZOJC792","4","6 months warranty","Ships in 1 month","In Stock","90 days return policy","16","","","https://cdn.dummyjson.com/products/images/home-decoration/Family%20Tree%20Photo%20Frame/thumbnail.png","15.46","26.32","17.1","1","Disappointing product!","Logan Torres","4","Very pleased!","William Gonzalez","3","Disappointing product!","Amelia Perez","home decor, photo frame"
"45","House Showpiece Plant","The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.","home-decoration","39.99","19.45","3.61","89","","LLNHNIFU","9","5 year warranty","Ships in 1 week","In Stock","7 days return policy","7","","","https://cdn.dummyjson.com/products/images/home-decoration/House%20Showpiece%20Plant/thumbnail.png","27.15","14.43","10.05","5","Great value for money!","Olivia Anderson","2","Very unhappy with my purchase!","Grace Perry","5","Highly recommended!","Emma Wilson","home decor, artificial plants"
"46","Plant Pot","The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display.","home-decoration","14.99","0.19","3.33","70","","M8IWE8MF","8","2 year warranty","Ships in 1-2 business days","In Stock","90 days return policy","44","","","https://cdn.dummyjson.com/products/images/home-decoration/Plant%20Pot/thumbnail.png","16.28","8.72","18.47","4","Fast shipping!","Harper Turner","5","Awesome product!","Leah Gutierrez","4","Highly recommended!","Sadie Morales","home decor, plant accessories"
"47","Table Lamp","The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere.","home-decoration","49.99","0.59","4.56","84","","0K9UDIUB","2","1 year warranty","Ships in 2 weeks","In Stock","30 days return policy","10","","","https://cdn.dummyjson.com/products/images/home-decoration/Table%20Lamp/thumbnail.png","29.6","19.68","10.12","3","Not worth the price!","Mateo Nguyen","5","Very satisfied!","James Garcia","1","Waste of money!","Henry Turner","home decor, lighting"
"48","Bamboo Spatula","The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes.","kitchen-accessories","7.99","4.85","4.4","0","","MYIWU1I6","4","1 year warranty","Ships in 1 month","Out of Stock","7 days return policy","26","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Bamboo%20Spatula/thumbnail.png","27.97","21.77","21.38","4","Very happy with my purchase!","Olivia Anderson","5","Fast shipping!","Grayson Coleman","4","Great product!","Mia Miller","kitchen tools, utensils"
"49","Black Aluminium Cup","The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.","kitchen-accessories","5.99","9.22","3.62","42","","1CSCC3UH","8","Lifetime warranty","Ships in 1 week","In Stock","7 days return policy","5","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Aluminium%20Cup/thumbnail.png","7.48","23.98","12.84","4","Great value for money!","Bella Grant","2","Waste of money!","Layla Young","2","Would not recommend!","Wyatt Perry","drinkware, cups"
"50","Black Whisk","The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.","kitchen-accessories","9.99","16.87","2.88","17","","0TDFNB1Q","6","5 year warranty","Ships in 3-5 business days","In Stock","30 days return policy","30","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Black%20Whisk/thumbnail.png","21.06","15.46","13.28","1","Disappointing product!","Claire Foster","3","Would not buy again!","Sophia Jones","4","Great value for money!","Avery Scott","kitchen tools, utensils"
"51","Boxed Blender","The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance.","kitchen-accessories","39.99","7.36","2.73","81","","6HG6U3Q9","10","3 months warranty","Ships in 2 weeks","In Stock","30 days return policy","18","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Boxed%20Blender/thumbnail.png","16.73","10.93","14.75","5","Highly recommended!","Sadie Morales","1","Very disappointed!","Elijah Hill","5","Very satisfied!","Owen Sullivan","kitchen appliances, blenders"
"52","Carbon Steel Wok","The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals.","kitchen-accessories","29.99","5.89","2.94","2","","OOE6KF9I","4","2 year warranty","Ships in 1 month","Low Stock","30 days return policy","16","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Carbon%20Steel%20Wok/thumbnail.png","14.69","11.23","28.05","4","Highly impressed!","Grace Green","4","Highly impressed!","Avery Barnes","4","Highly recommended!","Aubrey Wagner","cookware, woks"
"53","Chopping Board","The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping.","kitchen-accessories","12.99","17.72","4.82","53","","B7MZ3JGK","3","Lifetime warranty","Ships in 1-2 business days","In Stock","90 days return policy","9","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Chopping%20Board/thumbnail.png","24.38","26.51","6.93","1","Very disappointed!","Emma Miller","5","Fast shipping!","Nora Mills","4","Would buy again!","Evelyn Gonzalez","kitchen tools, cutting boards"
"54","Citrus Squeezer Yellow","The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.","kitchen-accessories","8.99","12.35","4.18","59","","PIUKVEZ4","9","3 year warranty","Ships overnight","In Stock","No return policy","12","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Citrus%20Squeezer%20Yellow/thumbnail.png","21.74","7.6","18.04","5","Very satisfied!","Bella Gonzalez","4","Very happy with my purchase!","Alexander Hernandez","1","Not as described!","Ella Cook","kitchen tools, juicers"
"55","Egg Slicer","The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired.","kitchen-accessories","6.99","9.6","2.91","30","","WG4L41YK","5","5 year warranty","Ships in 1 week","In Stock","60 days return policy","23","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Egg%20Slicer/thumbnail.png","17.18","11.58","11.79","5","Excellent quality!","Ava Taylor","1","Very unhappy with my purchase!","Nicholas Edwards","5","Great product!","David Martinez","kitchen tools, slicers"
"56","Electric Stove","The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.","kitchen-accessories","49.99","16.64","4.84","41","","D88AMROJ","9","6 months warranty","Ships in 2 weeks","In Stock","No return policy","8","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Electric%20Stove/thumbnail.png","28.07","11.43","20.68","4","Great product!","Samantha Howard","4","Awesome product!","Brayden Hill","2","Very dissatisfied!","Addison Wright","kitchen appliances, cooktops"
"57","Fine Mesh Strainer","The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.","kitchen-accessories","9.99","2.56","3.7","13","","4XB2EHHJ","6","1 week warranty","Ships in 2 weeks","In Stock","90 days return policy","32","","","https://cdn.dummyjson.com/products/images/kitchen-accessories/Fine%20Mesh%20Strainer/thumbnail.png","5.19","9.64","20.53","4","Would buy again!","Jack Ward","5","Fast shipping!","John Doe","5","Excellent quality!","Liam Smith","kitchen tools, strainers"
